stars,adverbs,sentiment
3.0,24,0.9285
5.0,2,0.8612
4.0,9,0.9657
4.0,8,0.9745
1.0,9,-0.822
5.0,1,0.9579
5.0,25,0.9968
4.0,2,0.939
5.0,7,0.9835
5.0,15,0.9409
1.0,9,-0.811
2.0,27,-0.6755
2.0,3,-0.6486
1.0,22,-0.8285
3.0,15,0.9444
5.0,0,0.855
4.0,0,0.9273
1.0,17,0.8492
5.0,3,0.9531
5.0,20,0.9961
5.0,13,0.9729
5.0,9,0.9565
5.0,3,0.8365
3.0,4,0.598
5.0,1,0.9284
5.0,1,0.8356
5.0,0,0.7841
4.0,10,0.9187
4.0,3,0.6972
3.0,13,0.9845
1.0,4,0.5478
4.0,6,0.8795
5.0,4,-0.2396
5.0,2,0.8687
5.0,3,0.9516
4.0,3,0.6908
3.0,5,0.673
5.0,4,0.9781
5.0,8,0.9703
5.0,6,0.9455
4.0,2,0.8176
4.0,5,0.9674
5.0,0,0.9468
2.0,8,0.9375
5.0,6,0.937
1.0,10,-0.9544
5.0,7,0.9633
5.0,13,0.991
2.0,7,-0.4704
5.0,5,0.9661
5.0,0,0.9349
3.0,1,0.8481
2.0,9,-0.8629
1.0,9,-0.9665
1.0,5,0.2124
4.0,25,0.9791
5.0,4,0.9571
5.0,14,0.7778
5.0,2,0.9167
4.0,1,0.9349
1.0,7,-0.1528
3.0,7,0.7179
5.0,7,0.9536
1.0,2,-0.809
3.0,4,0.1779
5.0,8,0.9737
5.0,5,0.9468
4.0,6,0.7774
4.0,2,0.891
2.0,9,0.9024
5.0,0,0.95
5.0,5,-0.7946
5.0,6,0.8807
5.0,6,0.7817
5.0,2,0.8733
5.0,2,0.9628
5.0,40,0.999
5.0,12,0.9612
5.0,28,0.9951
2.0,3,0.1779
5.0,4,0.9919
5.0,8,0.9595
2.0,14,0.8517
1.0,11,-0.8579
5.0,3,0.9448
5.0,5,0.8805
5.0,2,0.9224
1.0,17,0.9758
1.0,11,-0.3182
5.0,12,0.9751
5.0,4,0.9113
5.0,9,0.7783
3.0,5,0.0213
4.0,2,0.9555
1.0,2,-0.8617
5.0,9,0.9711
1.0,4,0.8682
2.0,12,0.9552
5.0,3,0.9136
1.0,4,0.8074
3.0,6,0.3489
5.0,16,0.9934
5.0,1,0.9412
5.0,4,0.947
1.0,19,-0.9555
1.0,18,0.9763
1.0,3,-0.3489
4.0,5,0.9806
5.0,2,0.6249
5.0,11,0.9625
1.0,5,0.8078
2.0,5,0.7615
5.0,3,0.8625
5.0,8,0.9593
5.0,3,0.8728
5.0,2,0.6239
5.0,4,0.8845
1.0,11,0.717
1.0,19,0.8609
1.0,7,-0.854
5.0,11,0.9806
5.0,1,0.8979
5.0,5,0.9787
4.0,6,0.9247
1.0,2,0.228
2.0,9,0.7617
1.0,11,0.5023
5.0,0,0.5719
2.0,6,-0.4703
5.0,8,0.9053
3.0,34,0.9955
5.0,1,0.875
5.0,3,0.9497
1.0,5,-0.1027
1.0,7,0.0
1.0,6,0.9473
1.0,8,-0.9332
3.0,13,0.4167
4.0,1,0.9493
5.0,4,0.872
4.0,4,0.8355
5.0,4,0.95
4.0,7,0.952
4.0,7,0.9171
4.0,4,0.9864
3.0,9,0.1658
1.0,18,0.8284
5.0,4,0.3338
1.0,0,0.3612
5.0,3,0.9751
5.0,6,0.9773
1.0,8,-0.4295
5.0,27,0.9968
2.0,24,0.8242
4.0,12,0.9587
5.0,1,0.962
5.0,11,0.9186
5.0,2,0.6467
1.0,6,-0.862
1.0,5,-0.4767
1.0,7,-0.8069
5.0,0,0.9358
2.0,12,-0.7784
3.0,6,0.961
5.0,6,0.9868
5.0,2,0.6114
5.0,17,0.9947
1.0,13,0.7964
4.0,1,0.7003
5.0,8,0.9945
1.0,9,-0.9144
3.0,7,0.8408
2.0,40,0.8601
5.0,3,0.9041
1.0,1,0.483
3.0,9,0.9636
5.0,1,0.9158
1.0,13,-0.9278
4.0,7,0.8716
5.0,14,0.9604
5.0,6,0.9828
4.0,6,0.9886
5.0,2,0.952
5.0,4,0.9522
1.0,9,0.9365
5.0,5,0.94
4.0,5,0.9938
5.0,4,0.9208
5.0,7,0.9899
1.0,15,0.9244
4.0,2,0.128
1.0,4,-0.5802
5.0,3,0.9544
2.0,3,0.4926
5.0,3,0.9574
1.0,7,-0.4926
5.0,0,0.0
3.0,2,0.6688
2.0,1,0.7269
1.0,10,0.6597
5.0,1,0.9057
1.0,4,-0.7118
1.0,3,0.4184
5.0,5,0.9832
2.0,14,-0.868
5.0,1,0.9588
3.0,2,0.6124
3.0,1,0.7789
5.0,9,0.9913
5.0,7,0.9507
5.0,19,0.9666
1.0,4,-0.8066
1.0,20,-0.9411
2.0,18,0.7243
4.0,2,0.9652
1.0,42,0.8831
3.0,6,0.548
1.0,14,0.6415
5.0,9,0.9445
5.0,11,0.9813
4.0,9,0.9747
5.0,1,0.6369
